, ,Rank in 2014,Rank in 2013,Rank in 2012,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Course fee[18],Prog. length[19],Enrolments[20],Relevant degree,Internships[21]
0,,1.0,10,10,1,University of St Gallen,Switzerland,Master of Arts in Strategy and International Management,79572509.0,79572509.0,10.0,3022.0,10.0,42.0,100 (88)0,111.0,467.0,250.0,770.0,921.0,670.0,17.0,41.0,10.0,10024.0,"SFr9,978",279.0,3915.0,Yes,1000.0
1,,2.0,40,40,3,HEC Paris,France,HEC Master of Science in Management,812822892.0,788252695.0,284.0,117.0,51.0,51.0,97 (65)1,225.0,454.0,131.0,650.0,426.0,653.0,65.0,104.0,20.0,1000.0,35000,180.0,465143.0,No,1000.0
2,,3.0,80,50,5,Essec Business School,France,Master of Science in Management,777864496.0,774514027.0,4019.0,85.0,83.0,91.0,91 (74)1,301.0,455.0,145.0,514.0,311.0,520.0,120.0,143.0,20.0,982.0,38000,210.0,68536.0,No,1000.0
3,,4.0,30,-,-,WHU – Otto Beisheim School of Management,Germany,Master of Science in Management,939483102.0,939483102.0,52.0,95.0,30.0,10.0,100 (90)5,191.0,3913.0,141.0,213.0,212.0,264.0,4013.0,339.0,0.0,1000.0,22000,192.0,8519.0,Yes,1000.0
4,,5.0,70,30,5,Cems,See table note,Masters in International Management,63272889.0,63468796.0,21.0,442.0,121.0,352.0,93 (62)5,330.0,481.0,313.0,981.0,940.0,950.0,51.0,71.0,20.0,900.0,10555,120.0,103039.0,No,1000.0
5,,6.0,100,70,8,Esade Business School,Spain,MSc in International Management,65647593.0,65647593.0,2919.0,623.0,72.0,168.0,97 (96)5,314.0,392.0,180.0,352.0,7220.0,820.0,32.0,188.0,11.0,921.0,24750,120.0,13046.0,Yes,5139.0
6,,7.0,20,20,4,ESCP Europe,"France, UK, Germany, Spain, Italy",ESCP Europe Master in Management,65604704.0,65404604.0,4816.0,251.0,111.0,112.0,83 (63)5,360.0,460.0,354.0,671.0,711.0,529.0,134.0,32.0,20.0,950.0,32600,180.0,74944.0,No,1000.0
7,,8.0,50,70,7,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,67696447.0,67696756.0,116.0,5220.0,91.0,230.0,88 (96)1,200.0,488.0,304.0,421.0,676.0,302.0,20.0,63.0,20.0,1000.0,21066,182.0,602.0,Yes,883.0
8,,9.0,50,60,7,IE Business School,Spain,Master in Management,741694907.0,742634813.0,4630.0,20.0,105.0,183.0,95 (88)1,352.0,382.0,284.0,550.0,651.0,821.0,240.0,410.0,10.0,961.0,32200,100.0,40097.0,No,331.0
9,,10.0,-,-,-,London Business School,UK,Masters in Management,73755.0,70414.0,27.0,68.0,15.0,13.0,96 (98),24.0,40.0,30.0,86.0,97.0,75.0,8.0,47.0,1.0,100.0,"£26,600",12.0,162.0,No,0.0
10,,11.0,90,110,10,HHL Leipzig Graduate School of Management,Germany,Master of Science in Management,852383164.0,852383164.0,266.0,4535.0,20.0,70.0,90 (88)5,205.0,271.0,104.0,250.0,256.0,154.0,528.0,225.0,20.0,1000.0,25000,240.0,7723.0,Yes,6220.0
11,,12.0,170,230,17,Università Bocconi,Italy,Master of Science in International Management,639865447.0,639865447.0,3819.0,1727.0,1922.0,151.0,94 (42)2,362.0,4117.0,149.0,271.0,311.0,452.0,42.0,171.0,20.0,891.0,24392,286.0,13611.0,No,1000.0
12,,13.0,190,-,-,Indian Institute of Management Calcutta,India,Post Graduate Programme,833971585.0,830851435.0,4127.0,10.0,1835.0,24.0,100 (99)0,181.0,2413.0,195.0,10.0,10.0,0.0,602.0,561.0,0.0,990.0,"Rs1,350,000",220.0,4584.0,No,1000.0
13,,14.0,-,-,-,EBS Business School,Germany,Master in Management,81734.0,81734.0,25.0,24.0,27.0,6.0,86 (100),16.0,38.0,20.0,26.0,28.0,0.0,53.0,30.0,0.0,100.0,23850,20.0,76.0,No,100.0
14,,15.0,130,130,14,Grenoble Ecole de Management,France,Master in International Business,5573449.0,56048168.0,490.0,131.0,376.0,5915.0,88 (75)1,431.0,440.0,530.0,441.0,920.0,530.0,70.0,1516.0,10.0,800.0,20000,243.0,27916.0,No,828.0
15,,16.0,140,120,14,Edhec Business School,France,Edhec Master in Management,5698840.0,5665171.0,540.0,182.0,3211.0,190.0,97 (94)1,323.0,524.0,170.0,392.0,350.0,6716.0,185.0,130.0,11.0,871.0,30500,202.0,91139.0,No,1000.0
16,,16.0,180,100,15,Indian Institute of Management Ahmedabad,India,Post Graduate Programme in Management,94478536.0,94721408.0,5514.0,33.0,305.0,30.0,100 (95)0,173.0,225.0,2011.0,33.0,0.0,2011.0,610.0,553.0,0.0,990.0,"Rs1,200,000",220.0,3801.0,No,1000.0
17,,18.0,160,140,16,Mannheim Business School,Germany,Mannheim Master in Management,768672940.0,780882118.0,75.0,502.0,61.0,277.0,94 (79)1,361.0,451.0,200.0,193.0,200.0,200.0,571.0,3512.0,1.0,851.0,540,306.0,26436.0,No,862.0
18,,19.0,120,140,15,Imperial College Business School,UK,MSc Management,554735957.0,540316526.0,633.0,169.0,413.0,105.0,84 (85)2,313.0,554.0,380.0,895.0,840.0,500.0,111.0,663.0,0.0,1004.0,"£22,000",121.0,19021.0,No,0.0
19,,20.0,110,90,13,EMLyon Business School,France,MSc in Management,54855315.0,54771388.0,6113.0,292.0,207.0,242.0,95 (61)0,330.0,584.0,11.0,501.0,3234.0,836.0,224.0,11.0,20.0,955.0,31400,240.0,69231.0,No,1000.0
20,,21.0,240,-,-,Iéseg School of Management,France,Master of Science in Management,49496709.0,48639535.0,6715.0,1044.0,579.0,436.0,86 (82)8,405.0,470.0,1010.0,812.0,344.0,708.0,154.0,80.0,21.0,982.0,16066,240.0,66097.0,Yes,1000.0
21,,22.0,220,220,22,WU (Vienna University of Economics and Business),Austria,Master in International Management,569361541.0,568391659.0,176.0,5310.0,5612.0,682.0,97 (97)1,352.0,5117.0,330.0,213.0,4413.0,720.0,205.0,57.0,20.0,953.0,2907,2424.0,6111.0,Yes,10013.0
22,,23.0,360,-,-,Rennes School of Business,France,Master in Management,490314321.0,491624384.0,601.0,512.0,5811.0,661.0,89 (83)2,363.0,542.0,6040.0,844.0,526.0,5020.0,147.0,112.0,10.0,811.0,17800,243.0,50439.0,No,1000.0
23,,24.0,140,170,18,City University: Cass,UK,MSc Management,534392128.0,537342399.0,457.0,4632.0,136.0,310.0,50 (92)22,305.0,492.0,479.0,702.0,931.0,537.0,104.0,4610.0,0.0,961.0,"£18,000",120.0,7230.0,No,1.0
24,,25.0,340,410,33,Institut Mines-Télécom Business School,France,Master in Management,50235798.0,50633309.0,2312.0,1413.0,2923.0,2510.0,90 (54)3,500.0,507.0,363.0,501.0,3112.0,4511.0,264.0,327.0,10.0,760.0,11380,317.0,34910.0,No,1000.0
25,,26.0,270,200,24,HEC Lausanne,Switzerland,Master of Science in Management,54718559.0,54718559.0,105.0,3110.0,4112.0,6926.0,97 (88)40,272.0,506.0,279.0,803.0,482.0,550.0,313.0,486.0,0.0,1000.0,"SFr2,520",240.0,17468.0,Yes,902.0
