, ,2016,2015,2014,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2015/16,Relevant degree,Internships[19]
0,,1.0,1,1,10,University of St Gallen,Switzerland,MA in Strategy and International Management,10150211902.0,10150211902.0,95.0,1112.0,950.0,30.0,100 (92)0,154.0,400.0,387.0,803.0,912.0,500.0,16.0,21.0,10.0,1000.0,"SFr9,978",250.0,55.0,Yes,1000.0
1,,2.0,2,2,21,HEC Paris,France,HEC MSc in Management,921305776.0,897936484.0,362.0,164.0,921.0,41.0,96 (91)1,193.0,383.0,130.0,694.0,422.0,672.0,42.0,60.0,20.0,1000.0,"€36,000",180.0,491.0,No,1000.0
2,,3.0,3,3,32,Essec Business School,France,MSc in Management,858643714.0,853653653.0,451.0,40.0,920.0,83.0,94 (74)0,323.0,490.0,188.0,532.0,352.0,500.0,101.0,45.0,10.0,991.0,"€38,000",210.0,746.0,No,1000.0
3,,4.0,7,7,61,ESCP Europe,"France, UK, Germany, Spain, Italy",ESCP Europe Master in Management,742434771.0,735924233.0,552.0,188.0,892.0,175.0,96 (90)8,350.0,502.0,296.0,732.0,760.0,484.0,121.0,91.0,20.0,972.0,"€35,800",180.0,905.0,No,1000.0
4,,5.0,5,8,60,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,733646750.0,733646750.0,204.0,231.0,901.0,3313.0,94 (100)7,241.0,4813.0,331.0,492.0,691.0,351.0,76.0,50.0,20.0,1000.0,"€17,000",191.0,67.0,Yes,9514.0
5,,6.0,6,10,7,London Business School,UK,Master in Management,805261712.0,781561150.0,5619.0,559.0,931.0,101.0,96 (98)1,270.0,422.0,374.0,860.0,982.0,714.0,21.0,5413.0,10.0,1000.0,"£28,900",120.0,237.0,No,5421.0
6,,7.0,10,9,91,IE Business School,Spain,Master in Management,8066110017.0,814918922.0,577.0,2922.0,912.0,297.0,95 (89)0,381.0,457.0,460.0,624.0,716.0,840.0,141.0,472.0,10.0,981.0,"€33,200",100.0,506.0,No,313.0
7,,8.0,13,22,145,WU (Vienna University of Economics and Business),Austria,Master in International Management,63948845.0,63948751.0,210.0,1231.0,890.0,4917.0,94 (98)1,392.0,556.0,4613.0,263.0,444.0,6210.0,86.0,11.0,20.0,960.0,"€2,907",240.0,75.0,Yes,1000.0
8,,9.0,8,4,72,WHU – Otto Beisheim School of Management,Germany,MSc in Management,98360237.0,98360237.0,3016.0,288.0,931.0,21.0,98 (91)3,2712.0,303.0,122.0,294.0,3211.0,1214.0,504.0,4410.0,0.0,1000.0,"€23,600",200.0,110.0,Yes,1000.0
9,,9.0,12,6,90,Esade Business School,Spain,MSc in International Management,671602131.0,678102781.0,5315.0,88.0,900.0,214.0,83 (88)11,356.0,351.0,244.0,409.0,9011.0,825.0,31.0,231.0,10.0,923.0,"€26,100",130.0,180.0,Yes,406.0
10,,11.0,9,12,112,Università Bocconi,Italy,MSc in International Management,69982211.0,69982211.0,486.0,514.0,892.0,62.0,96 (41)3,371.0,535.0,150.0,300.0,242.0,6510.0,95.0,220.0,10.0,955.0,"€25,400",280.0,135.0,No,1000.0
11,,12.0,11,14,12,EBS Business School,Germany,Master in Management,826332433.0,826332433.0,429.0,1910.0,914.0,73.0,84 (69)1,243.0,445.0,50.0,240.0,519.0,0.0,358.0,4212.0,0.0,1000.0,"€23,850",200.0,137.0,No,1000.0
12,,13.0,20,15,160,Grenoble Ecole de Management,France,Master in International Business,616462436.0,608402341.0,439.0,3114.0,850.0,764.0,95 (75)2,443.0,483.0,593.0,472.0,855.0,593.0,62.0,1326.0,10.0,831.0,"€20,200",240.0,260.0,No,916.0
13,,14.0,14,18,151,Mannheim Business School,Germany,Mannheim Master in Management,831131019.0,82710601.0,1811.0,366.0,911.0,241.0,97 (83)1,360.0,494.0,200.0,242.0,252.0,200.0,7812.0,3615.0,0.0,852.0,€557,320.0,273.0,No,924.0
14,,15.0,18,16,160,Edhec Business School,France,Edhec Master in Management,611924009.0,611384019.0,676.0,302.0,862.0,163.0,97 (88)1,361.0,491.0,358.0,413.0,381.0,822.0,224.0,191.0,20.0,890.0,"€30,000",284.0,952.0,No,1000.0
15,,16.0,15,16,160,Indian Institute of Management Ahmedabad,India,Post Graduate Programme in Management,1077488699.0,1085118967.0,8318.0,21.0,860.0,11.0,100 (97)0,191.0,1415.0,122.0,41.0,0.0,0.0,8412.0,6812.0,0.0,1000.0,"Rs1,415,000",220.0,395.0,No,1000.0
16,,17.0,21,21,202,Iéseg School of Management,France,MSc in Management,50121477.0,49776639.0,792.0,172.0,850.0,389.0,94 (63)8,473.0,503.0,100.0,873.0,251.0,700.0,269.0,184.0,20.0,1001.0,"€18,751",240.0,721.0,Yes,1000.0
17,,17.0,31,48,3212,Nova School of Business and Economics,Portugal,International Master in Management,500793343.0,507153812.0,346.0,5716.0,870.0,253.0,89 (96)2,373.0,492.0,294.0,356.0,761.0,294.0,1315.0,84.0,20.0,1000.0,"€15,967",200.0,280.0,No,631.0
18,,19.0,26,-,-,Indian Institute of Management Bangalore,India,Post Graduate Programme in Management,10586513300.0,10604713022.0,8527.0,31.0,832.0,114.0,100 (99)0,211.0,285.0,250.0,43.0,0.0,66.0,879.0,583.0,0.0,1001.0,"Rs1,870,000",210.0,414.0,No,1000.0
19,,20.0,19,19,192,Imperial College Business School,UK,MSc in Management,611262816.0,605313667.0,763.0,5918.0,873.0,236.0,92 (93)2,291.0,512.0,405.0,920.0,824.0,673.0,164.0,753.0,0.0,1000.0,"£26,000",141.0,173.0,No,2616.0
20,,21.0,17,11,164,HHL Leipzig Graduate School of Management,Germany,MSc in Management,878002976.0,878002976.0,397.0,546.0,913.0,93.0,95 (97)5,177.0,285.0,3223.0,172.0,3618.0,4725.0,7411.0,2411.0,11.0,1000.0,"€25,000",222.0,53.0,Yes,1000.0
21,,22.0,-,-,-was 52,University College Dublin: Smurfit,Ireland,MSc in International Management,583772419.0,583772402.0,3712.0,825.0,893.0,642.0,100 (95)42,351.0,484.0,214.0,500.0,9130.0,4714.0,514.0,3240.0,22.0,1000.0,"€17,900",142.0,46.0,Yes,100100.0
22,,23.0,16,13,171,Indian Institute of Management Calcutta,India,Post Graduate Programme in Management,986795557.0,988245860.0,6823.0,10.0,852.0,51.0,100 (100)0,200.0,205.0,76.0,10.0,0.0,0.0,8021.0,7011.0,0.0,990.0,"Rs1,900,000",220.0,463.0,No,1000.0
23,,24.0,28,27,26,Audencia Business School,France,MSc in Management-Engineering,621504374.0,621504374.0,351.0,60.0,880.0,1520.0,95 (100)4,498.0,252.0,211.0,400.0,105.0,574.0,313.0,305.0,20.0,810.0,"€17,950",160.0,101.0,No,1000.0
24,,25.0,28,37,305,Maastricht University School of Business and Economics,Netherlands,MSc in International Business,60977681.0,60978479.0,131.0,467.0,870.0,672.0,98 (91)1,221.0,402.0,3615.0,500.0,705.0,9127.0,230.0,455.0,10.0,992.0,"€14,000",160.0,576.0,No,124.0
25,,26.0,30,20,255,EMLyon Business School,France,MSc in Management,602822320.0,600442186.0,754.0,4312.0,861.0,321.0,89 (86)6,314.0,5414.0,110.0,460.0,442.0,890.0,254.0,150.0,11.0,972.0,"€33,500",306.0,902.0,No,1000.0
26,,26.0,25,28,261,Skema Business School,"France, US, China, Brazil",Global MSc in Management,543122272.0,542822345.0,644.0,208.0,841.0,3414.0,90 (69)2,471.0,581.0,390.0,401.0,497.0,670.0,191.0,102.0,21.0,813.0,"€22,500",240.0,486.0,No,1000.0
27,,28.0,44,33,352,Stockholm School of Economics,Sweden,MSc in International Business,606812450.0,606812450.0,2314.0,702.0,880.0,4511.0,91 (97)2,261.0,431.0,2511.0,354.0,575.0,0.0,3411.0,340.0,20.0,993.0,"SKr300,000",210.0,44.0,No,100100.0
28,,29.0,34,34,325,Antwerp Management School,Belgium,Master of Global Management,556965576.0,556965576.0,4111.0,1410.0,832.0,5211.0,88 (92)2,272.0,507.0,306.0,431.0,568.0,703.0,4413.0,114.0,0.0,926.0,"€10,950",100.0,78.0,No,1000.0
29,,30.0,21,26,261,HEC Lausanne,Switzerland,MSc in Management,64447983.0,64447983.0,168.0,3424.0,813.0,724.0,89 (87)5,253.0,460.0,200.0,801.0,593.0,500.0,332.0,679.0,10.0,1000.0,"SFr2,520",240.0,146.0,Yes,834.0
30,,31.0,27,29,294,Eada Business School Barcelona,Spain,Master in International Management,588041282.0,588041282.0,6316.0,4133.0,892.0,309.0,90 (82)0,352.0,445.0,394.0,555.0,871.0,435.0,216.0,2612.0,10.0,718.0,"€21,400",120.0,79.0,No,1000.0
31,,31.0,40,36,361,Vlerick Business School,Belgium,Master in General Management,634262427.0,617481748.0,249.0,228.0,851.0,130.0,99 (95)2,290.0,403.0,170.0,231.0,141.0,920.0,677.0,3515.0,10.0,944.0,"€14,500",100.0,154.0,No,1000.0
32,,33.0,36,44,384,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,656191072.0,656191072.0,11.0,2711.0,880.0,125.0,100 (100)0,291.0,521.0,160.0,30.0,2926.0,357.0,8910.0,7410.0,10.0,921.0,"Rmb50,000",300.0,31.0,No,10019.0
33,,34.0,34,40,362,Neoma Business School,France,Master in Management,537012007.0,534071873.0,590.0,108.0,832.0,310.0,93 (86)2,451.0,551.0,5012.0,565.0,285.0,5012.0,531.0,256.0,20.0,893.0,"€22,440",221.0,1213.0,No,1000.0
34,,35.0,-,23,-,Rennes School of Business,France,Master in Management,53324.0,53669.0,77.0,7.0,83.0,66.0,92 (71),33.0,51.0,60.0,85.0,13.0,30.0,24.0,14.0,0.0,82.0,"€20,800",24.0,507.0,No,100.0
35,,36.0,23,31,30,Warwick Business School,UK,MSc in Management,536181938.0,536181938.0,724.0,3521.0,881.0,3618.0,97 (92)1,313.0,575.0,222.0,780.0,944.0,222.0,478.0,855.0,10.0,1000.0,"£26,500",140.0,210.0,No,0.0
36,,36.0,32,37,351,Copenhagen Business School,Denmark,MSc in General Management,649203446.0,650893465.0,74.0,538.0,881.0,751.0,80 (92)1,331.0,460.0,279.0,401.0,584.0,90.0,297.0,564.0,0.0,900.0,"Kr280,000",331.0,569.0,Yes,90.0
