, ,2017,2016,2015,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2016/17,Relevant degree,Internships[15]
0,,1.0,1,1,1,University of St Gallen,Switzerland,MA in Strategy and International Management,11444912947.0,11444912947.0,67.0,134.0,67.0,923.0,1.0,97 (100)3,16.0,40.0,380.0,800.0,910.0,500.0,21.0,20.0,10.0,1000.0,"SFr9,978",261.0,55.0,Yes,1000.0
1,,2.0,2,2,2,HEC Paris,France,HEC Masters in Management (MiM),1006968566.0,991459352.0,73.0,342.0,32.0,920.0,4.0,96 (91)0,19.0,39.0,130.0,712.0,411.0,670.0,31.0,93.0,20.0,1000.0,36000,180.0,534.0,No,964.0
2,,3.0,7,10,7,IE Business School,Spain,Master in Management,906139952.0,911899698.0,78.0,516.0,7.0,910.0,45.0,93 (87)2,38.0,44.0,460.0,620.0,701.0,840.0,131.0,5811.0,10.0,980.0,32200,100.0,548.0,No,274.0
3,,4.0,6,6,5,London Business School,UK,Masters in Management,868966370.0,852627106.0,63.0,571.0,49.0,921.0,8.0,95 (99)1,24.0,41.0,392.0,851.0,971.0,721.0,11.0,595.0,10.0,1000.0,28900,120.0,241.0,No,504.0
4,,5.0,3,3,4,Essec Business School,France / Singapore,MSc in Management,901064242.0,890673702.0,54.0,472.0,75.0,911.0,12.0,93 (68)1,31.0,52.0,3820.0,552.0,361.0,6212.0,111.0,117.0,10.0,990.0,38000,210.0,831.0,No,1000.0
5,,6.0,4,7,6,ESCP Europe,FR / UK / DE / ES / IT,ESCP Europe Master in Management,783324089.0,782154623.0,50.0,550.0,39.0,881.0,23.0,97 (91)1,38.0,51.0,301.0,763.0,837.0,524.0,142.0,63.0,20.0,981.0,35800,180.0,870.0,No,1000.0
6,,7.0,9,8,8,WHU – Otto Beisheim School of Management,Germany,MSc in Management,10859010230.0,1061727812.0,58.0,300.0,79.0,921.0,2.0,96 (99)2,25.0,36.0,120.0,312.0,275.0,120.0,555.0,386.0,0.0,1000.0,23600,200.0,100.0,Yes,1000.0
7,,8.0,9,12,10,Esade Business School,Spain,MSc in International Management,745447384.0,748697059.0,74.0,458.0,9.0,891.0,18.0,94 (90)11,37.0,34.0,328.0,391.0,922.0,842.0,41.0,4724.0,10.0,920.0,25800,130.0,130.0,Yes,382.0
8,,9.0,-,4,-,Cems,See table note,Cems Masters in International Management,76102.0,76333.0,41.0,29.0,23.0,90.0,16.0,98 (60),34.0,49.0,34.0,36.0,50.0,95.0,6.0,4.0,2.0,93.0,11365,12.0,1243.0,No,100.0
9,,10.0,11,9,10,Università Bocconi,Italy,MSc in International Management,748884906.0,754235441.0,57.0,480.0,14.0,890.0,5.0,98 (52)2,39.0,40.0,238.0,355.0,3612.0,738.0,101.0,175.0,10.0,972.0,25412,280.0,143.0,No,1000.0
10,,11.0,5,5,7,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,792485884.0,792485884.0,40.0,200.0,22.0,891.0,30.0,87 (94)7,22.0,52.0,267.0,523.0,663.0,305.0,92.0,1510.0,20.0,1000.0,24900,190.0,65.0,Yes,6035.0
11,,12.0,14,14,13,University of Mannheim,Germany,Mannheim Master in Management,93881.0,93478.0,59.0,11.0,48.0,91.0,17.0,96 (81),34.0,45.0,20.0,24.0,28.0,20.0,63.0,27.0,0.0,85.0,557,32.0,308.0,No,93.0
12,,13.0,8,13,11,WU (Vienna University of Economics and Business),Austria,Master in International Management,710057057.0,710057057.0,40.0,183.0,34.0,912.0,24.0,95 (100)1,38.0,45.0,424.0,282.0,5915.0,584.0,124.0,1312.0,20.0,960.0,2907,240.0,71.0,Yes,1000.0
13,,14.0,20,19,18,Imperial College Business School,UK,MSc in Management,664545328.0,662765745.0,63.0,837.0,12.0,881.0,22.0,93 (86)1,31.0,53.0,400.0,942.0,853.0,670.0,204.0,723.0,0.0,1000.0,26000,140.0,178.0,No,337.0
14,,15.0,22,-,-,University College Dublin: Smurfit,Ireland,MSc in International Management,6890510528.0,6890510528.0,34.0,334.0,77.0,912.0,19.0,86 (73)14,38.0,42.0,221.0,500.0,8110.0,569.0,72.0,239.0,20.0,1000.0,17900,131.0,43.0,Yes,1000.0
15,,16.0,15,18,16,Edhec Business School,France,Edhec Master in Management,696758483.0,687087570.0,47.0,616.0,54.0,860.0,13.0,97 (87)0,39.0,49.0,427.0,476.0,446.0,842.0,193.0,181.0,20.0,901.0,27800,280.0,979.0,No,1000.0
