Name;Outlying;Skewed;Clumpy;Sparse;Striated;Convex;Skinny;Stringy;Monotonic
2018 * Weighted Salary;0.221275033;0.666604334;0.049111409;0.090036856;0.044444444;0.403380816;0.488210023;0.351719927;0.624160197
2018 * Salary % Increase;0.262032975;0.727745971;0.056253444;0.115018873;0.047058824;0.699755852;0.431614364;0.409219607;0.105396949
2018 * Value for Money Rank;0;0.549433433;0.084321993;0.109165721;0.020408163;0.695732327;0.570556371;0.346988332;0.021100905
2018 * Career Progress Rank;0.025281746;0.648698455;0.041203254;0.118833469;0.09375;0.490471155;0.625425904;0.39437037;0.088421923
2018 * Aims Achieved;0.061758484;0.37102508;0.058271394;0.072157692;0.086021505;0.502126763;0.55622838;0.462487704;0.467212554
2018 * Careers Service Rank;0.063900069;0.55263758;0.095162314;0.097877659;0.103092784;0.592076429;0.4515069;0.346988332;0.380124707
2018 * Female Faculty Members;0.157775874;0.622402746;0.087346333;0.09751763;0.065217391;0.760958302;0.241161995;0.40993586;0.151537241
2018 * Female Students;0.192173684;0.644786743;0.048292227;0.110114793;0.076086957;0.523565045;0.512327777;0.264351001;0.005753629
2018 * Women on Board;0.029693015;0.660045147;0.062474641;0.105279275;0.072164948;0.642889836;0.419665357;0.346988332;0.002494373
2018 * International Faculty;0.05574506;0.633114;0.086444206;0.1085689;0.030927835;0.671245209;0.543581391;0.388585079;0.032688024
2018 * International Students;0;0.536849136;0.049063445;0.110176887;0.082474227;0.628877231;0.532816576;0.36739433;0.034638552
2018 * International Board;0.077549521;0.558821345;0.042248252;0.107009807;0.072916667;0.544247552;0.606553351;0.308993018;0.11121136
2018 * International Mobility Rank;0.100160403;0.612822561;0.072115005;0.099951987;0.083333333;0.431852109;0.605797871;0.421875;0.306675767
2018 * International Course Experience Rank;0.0593981;0.576909428;0.043602148;0.109447289;0.06185567;0.6712069;0.501626034;0.271955877;0.267431882
X2018 * Languages;0;0.733038735;0.569923418;0.07512958;0.792207792;0.000475067;0.857817872;0.842421125;0.102474434
2018 * Faculty with Doctorates;0.166124782;0.626805806;0.042948006;0.098310936;0.159574468;0.59278728;0.413322808;0.410575385;0.235170174
2018 * Course Length Months;0;0.598353989;0.13975806;0.107046323;0.144329897;0.543211326;0.567428244;0.34099024;0.002286485
2018 * Company Internships;0;0.733766475;0.156745061;0.147757643;0.318181818;0.218243948;0.679785273;0.583473216;0.138902385
