2018;2017;2016;3-year average;School name;Country;Programme name;Salary today (US$);Weighted salary (US$);Salary percentage increase;Value for money rank;Career progress rank;Aims achieved (%);Careers service rank;Employed at three months (%);Female faculty (%);Female students (%);Women on board (%);International faculty (%);International students (%);International board (%);International mobility rank;International course experience rank;Languages;Faculty with doctorates (%);Maximum course fee (local currency);Course length (months);Number enrolled 2017/18;Relevant degree;Company internships (%)
1;1;1;1;University of St Gallen;Switzerland;MA in Strategy and International Management;108621;108621;54;18;92;93;1;98 (100);16;50;32;75;98;53;4;2;1;100;SFr9,978;25;58;Yes;100
2;2;2;2;HEC Paris;France;HEC MSc in Management**;98069;96249;72;37;32;91;10;96 (82);19;37;13;70;46;67;2;11;2;100;ó37,000;18;491;No;90
3;4;6;4;London Business School;UK;Masters in Management;91589;89801;63;56;30;92;8;96 (98);24;46;50;82;94;72;5;82;1;99;£29,900;12;248;No;10
4;5;3;4;Essec Business School;France / Singapore;MSc in Management**;93916;93461;63;48;55;90;13;94 (70);34;46;38;56;38;69;16;14;1;99;ó40,000;21;815;No;100
5;6;4;5;ESCP Europe;FR / UK / DE / ES / IT;ESCP Europe Master in Management**;81282;80346;49;63;37;87;33;98 (90);38;52;34;78;86;56;18;6;2;99;ó36,800;18;892;No;100
6;10;11;9;Universitö Bocconi;Italy;MSc in International Management;77295;77452;61;51;8;87;6;100 (81);40;48;28;34;35;72;15;17;1;98;ó26,652;26;143;No;100
7;15;22;15;University College Dublin: Smurfit;Ireland;MSc in International Management;68400;68400;45;36;35;89;24;95 (97);35;52;29;50;81;54;1;9;2;100;ó18,300;13;42;Yes;100
8;11;5;8;Rotterdam School of Management, Erasmus University;Netherlands;MSc in International Management;78922;78922;45;23;22;88;45;88 (100);24;56;33;55;63;31;3;13;2;100;ó26,050;19;63;Yes;63
9;9;;;Cems;See table note;Cems Masters in International Management;80151;80200;43;28;26;88;17;98 (55);32;50;31;36;49;95;8;5;2;96;ó12,681;12;1251;No;100
10;3;7;7;IE Business School;Spain;Master in Management;79475;79784;69;76;10;88;51;85 (89);40;42;47;65;79;90;10;79;1;98;ó35,200;10;639;No;23
11;8;9;9;Esade Business School;Spain;MSc in International Management;80966;81615;65;50;25;87;19;84 (93);36;44;20;40;95;80;11;53;1;93;ó26,500;13;131;Yes;34
12;23;28;21;Stockholm School of Economics;Sweden;MSc in International Business;75792;75792;49;24;83;91;28;88 (100);26;58;42;33;74;37;14;4;2;94;SKr300,000;23;53;No;100
13;13;8;11;WU (Vienna University of Economics and Business);Austria;Master in International Management;67695;67695;40;11;66;87;29;96 (100);39;53;50;30;53;58;6;12;2;96;ó2,907;24;70;Yes;100
14;12;14;13;University of Mannheim;Germany;Mannheim Master in Management;89425;89425;49;10;44;90;27;96 (86);35;45;20;28;31;20;78;32;0;85;ó641;32;339;No;92
15;14;20;16;Imperial College Business School;UK;MSc in Management;68743;67477;49;84;18;86;16;91 (91);29;50;43;96;86;71;22;78;0;100;£27,000;14;167;No;29
16;7;9;11;WHU Beisheim;Germany;MSc in Management;101304;101304;47;33;98;91;2;90 (98);23;29;12;30;32;12;69;41;0;100;ó24,000;20;97;Yes;100
17;16;15;16;Edhec Business School;France;Edhec Master in Management**;69652;68866;44;70;63;86;14;97 (93);40;50;41;53;46;86;24;20;2;91;ó30,600;32;999;No;100
18;32;33;28;Shanghai Jiao Tong University: Antai;China;Master of Management Science and Engineering;73245;73245;102;6;15;85;4;100 (100);33;46;13;3;7;32;99;63;1;94;Rmb72,250;36;28;No;100
19;21;16;19;Indian Institute of Management Ahmedabad;India;Post Graduate Programme in Management;120054;120636;39;92;36;83;12;100 (98);20;28;0;2;1;0;98;66;0;100;Rs1,533,000;22;395;No;99
20;;42;;Kozminski University;Poland;Master in Management;75986;74576;67;34;20;89;23;94 (93);37;49;15;17;48;62;68;40;0;87;Zloty 52,000;24;171;No;55
21;21;36;26;Warwick Business School;UK;MSc in Management;57990;57990;85;85;1;82;35;96 (94);34;61;40;78;97;20;65;89;1;100;£27,250;14;160;No;0
22;;;;University of Economics, Prague;Czech Republic;International Master in Management;68853;68853;52;15;87;89;97;100 (100);42;52;20;13;62;35;19;3;2;88;Kc138,000;28;40;Yes;100
23;28;23;25;Indian Institute of Management Calcutta;India;Post Graduate Programme in Management;111780;111938;42;90;39;84;9;100 (100);21;31;18;1;0;6;91;62;1;100;Rs1,194,000;22;463;No;100
23;23;39;28;St Petersburg State University Graduate School of Management;Russia;Master in Management;59178;59085;69;16;4;88;26;92 (80);53;55;14;4;14;22;27;37;1;94;Rub900,000;24;109;No;100
25;35;26;29;Skema Business School;France / US / China / Brazil;Global MSc in Management**;62240;62333;50;68;56;87;38;91 (82);43;62;33;48;50;58;17;8;2;92;ó22,500;24;490;No;100
